Chicken soup,,,Soup,5,
Beef soup with vegetables,,,Soup,5,
Homemade tzatziki,,,Appetizer,4,
Cheese salad,,,Appetizer,5,
Grilled mushrooms,,,Appetizer,5,
Smoked mackerel,,,Appetizer,5,
Fried hard cheese,,,Appetizer,6,
Fried zucchini,,,Appetizer,4,
Roasted vegetables with basil and balsamic vinegar,,,Appetizer,7,
Risotto with seafood,,,Appetizer,15,
Risotto with fresh vegetables,,,Appetizer,10,
